               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11026,            0.029626,                   0,          0.00060606,             0.18182,          0.00044901,          4.4901e-05,            0.066199,            0.017305,                   0,              0.0793,              0.0023,              0.0023
                   1,             0.11033,            0.029249,                   0,          0.00060606,             0.18182,          0.00041418,          5.0179e-05,             0.06577,             0.01688,                   0,            0.057653,           0.0046535,           0.0046535
                   2,              0.1108,            0.028203,                   0,          0.00090909,             0.27273,          0.00074455,          9.2199e-05,            0.065562,            0.017017,                   0,            0.035959,           0.0069594,           0.0069594
                   3,             0.10826,            0.028381,                   0,           0.0010606,             0.31818,          0.00083558,          0.00011171,            0.065493,            0.017273,                   0,            0.014218,           0.0092178,           0.0092178
                   4,             0.10436,            0.028176,                   0,           0.0023484,            0.045455,           0.0014294,          0.00026673,            0.079213,            0.039818,                   0,            0.009604,            0.009604,            0.009604
                   5,              0.1034,            0.029736,                   0,          0.00040804,            0.090909,          0.00017967,          7.6577e-05,            0.086748,              1.5944,                   0,            0.009604,            0.009604,            0.009604
                   6,              0.1003,            0.029085,                   0,          0.00049146,             0.13636,          0.00026343,          6.0766e-05,             0.08541,             0.85236,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.098777,            0.028849,                   0,           0.0013832,             0.27273,           0.0008051,          0.00017507,                 nan,                 nan,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.090494,            0.028776,                   0,          0.00069866,            0.045455,          0.00040569,          4.8778e-05,            0.092651,             0.37078,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.086871,            0.027835,                   0,          0.00045455,             0.13636,          0.00027709,          0.00010842,            0.089657,              0.1436,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.085825,            0.029339,                   0,             0.17457,             0.31726,             0.10284,            0.026241,            0.054859,            0.015981,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.075633,            0.028526,                   0,           0.0033333,                   1,             0.12801,            0.027258,            0.042345,            0.018248,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.075336,            0.027258,                   0,           0.0033333,                   1,             0.04887,            0.020192,            0.033227,            0.019612,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.069112,            0.025237,                   0,           0.0033333,                   1,             0.13953,            0.047307,            0.032629,            0.019863,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.067895,            0.026038,                   0,           0.0081292,                   1,             0.30301,            0.087262,            0.030923,            0.018476,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.07235,            0.028076,                   0,            0.073685,             0.86364,             0.32861,             0.11306,            0.034963,            0.018162,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.065852,            0.023933,                   0,           0.0083115,                   1,             0.35362,             0.14543,            0.029823,            0.019104,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.062245,            0.024469,                   0,             0.64196,             0.48949,             0.59093,             0.20995,            0.033742,            0.017429,                   0,            0.008416,            0.008416,            0.008416
